Dimension,Geometry,Filament
0.096,12.5,Carbon Fiber
0.069,12.5,Carbon Fiber
0.06,12.5,Carbon Fiber
0.047,12.5,Carbon Fiber
0.05,12.5,Carbon Fiber
0.025,12.5,Carbon Fiber
0.042,12.5,Carbon Fiber
0.096,12.5,Carbon Fiber
0.056,12.5,Carbon Fiber
0.079,12.5,Carbon Fiber
0.067,12.5,Carbon Fiber
0.036,12.5,Carbon Fiber
0.051,10,Carbon Fiber
0.036,10,Carbon Fiber
0.052,10,Carbon Fiber
0.062,10,Carbon Fiber
0.079,10,Carbon Fiber
0.084,10,Carbon Fiber
0.083,10,Carbon Fiber
0.096,10,Carbon Fiber
0.064,10,Carbon Fiber
0.05,10,Carbon Fiber
0.053,10,Carbon Fiber
0.056,10,Carbon Fiber
0.079,10,Carbon Fiber
0.068,10,Carbon Fiber
0.081,10,Carbon Fiber
0.076,10,Carbon Fiber
0.024,7.5,Carbon Fiber
0.04,7.5,Carbon Fiber
0.003,7.5,Carbon Fiber
0.007,7.5,Carbon Fiber
0.061,7.5,Carbon Fiber
0.066,7.5,Carbon Fiber
0.013,7.5,Carbon Fiber
0.005,7.5,Carbon Fiber
0.049,7.5,Carbon Fiber
0.038,7.5,Carbon Fiber
0.021,7.5,Carbon Fiber
0.076,7.5,Carbon Fiber
0.044,7.5,Carbon Fiber
0.058,7.5,Carbon Fiber
0.017,7.5,Carbon Fiber
0.068,7.5,Carbon Fiber
0.043,5,Carbon Fiber
0.055,5,Carbon Fiber
0.051,5,Carbon Fiber
0.054,5,Carbon Fiber
0.053,5,Carbon Fiber
0.057,5,Carbon Fiber
0.067,5,Carbon Fiber
0.048,5,Carbon Fiber
0.042,5,Carbon Fiber
0.052,5,Carbon Fiber
0.06,5,Carbon Fiber
0.055,5,Carbon Fiber
0.034,5,Carbon Fiber
0.048,5,Carbon Fiber
0.051,5,Carbon Fiber
0.053,5,Carbon Fiber
0.188,25,PETG
0.257,25,PETG
0.213,25,PETG
0.306,25,PETG
0.283,25,PETG
0.612,25,PETG
0.612,25,PETG
0.704,25,PETG
0.237,25,PETG
0.262,25,PETG
0.405,25,PETG
0.309,25,PETG
0.676,25,PETG
0.698,25,PETG
0.671,25,PETG
0.748,25,PETG
0.283,20,PETG
0.255,20,PETG
0.328,20,PETG
0.335,20,PETG
0.296,20,PETG
0.37,20,PETG
0.372,20,PETG
0.364,20,PETG
0.301,20,PETG
0.246,20,PETG
0.252,20,PETG
0.343,20,PETG
0.264,20,PETG
0.412,20,PETG
0.417,20,PETG
0.41,20,PETG
0.164,15,PETG
0.144,15,PETG
0.218,15,PETG
0.19,15,PETG
0.292,15,PETG
0.303,15,PETG
0.268,15,PETG
0.239,15,PETG
0.156,15,PETG
0.21,15,PETG
0.181,15,PETG
0.127,15,PETG
0.281,15,PETG
0.37,15,PETG
0.251,15,PETG
0.27,15,PETG
0.154,10,PETG
0.191,10,PETG
0.171,10,PETG
0.209,10,PETG
0.165,10,PETG
0.192,10,PETG
0.204,10,PETG
0.194,10,PETG
0.118,10,PETG
0.1,10,PETG
0.191,10,PETG
0.144,10,PETG
0.201,10,PETG
0.198,10,PETG
0.189,10,PETG
0.172,10,PETG
0.123,12.5,PETG
0.139,12.5,PETG
0.156,12.5,PETG
0.153,12.5,PETG
0.252,12.5,PETG
0.241,12.5,PETG
0.191,12.5,PETG
0.217,12.5,PETG
0.099,12.5,PETG
0.148,12.5,PETG
0.112,12.5,PETG
0.126,12.5,PETG
0.265,12.5,PETG
0.229,12.5,PETG
0.232,12.5,PETG
0.203,12.5,PETG
0.079,10,PETG
0.13,10,PETG
0.146,10,PETG
0.139,10,PETG
0.096,10,PETG
0.186,10,PETG
0.206,10,PETG
0.103,10,PETG
0.118,10,PETG
0.119,10,PETG
0.133,10,PETG
0.124,10,PETG
0.154,10,PETG
0.18,10,PETG
0.242,10,PETG
0.212,10,PETG
0.138,7.5,PETG
0.145,7.5,PETG
0.118,7.5,PETG
0.149,7.5,PETG
0.172,7.5,PETG
0.184,7.5,PETG
0.175,7.5,PETG
0.179,7.5,PETG
0.141,7.5,PETG
0.13,7.5,PETG
0.136,7.5,PETG
0.152,7.5,PETG
0.133,7.5,PETG
0.187,7.5,PETG
0.184,7.5,PETG
0.177,7.5,PETG
0.101,5,PETG
0.075,5,PETG
0.09,5,PETG
0.096,5,PETG
0.121,5,PETG
0.154,5,PETG
0.186,5,PETG
0.163,5,PETG
0.112,5,PETG
0.103,5,PETG
0.106,5,PETG
0.117,5,PETG
0.148,5,PETG
0.166,5,PETG
0.232,5,PETG
0.212,5,PETG
0.19400,25.00000,ABS
0.47700,25.00000,ABS
0.47600,25.00000,ABS
0.27200,25.00000,ABS
0.351,25.00000,ABS
0.26,25.00000,ABS
0.265,25.00000,ABS
0.362,25.00000,ABS
0.25100,25.00000,ABS
0.30400,25.00000,ABS
0.29400,25.00000,ABS
0.28000,25.00000,ABS
0.239,25.00000,ABS
0.305,25.00000,ABS
0.258,25.00000,ABS
0.252,25.00000,ABS
0.244,20.00000,ABS
0.247,20.00000,ABS
0.166,20.00000,ABS
0.211,20.00000,ABS
0.253,20.00000,ABS
0.23,20.00000,ABS
0.233,20.00000,ABS
0.228,20.00000,ABS
0.19600,20.00000,ABS
0.22600,20.00000,ABS
0.15200,20.00000,ABS
0.13800,20.00000,ABS
0.26600,20.00000,ABS
0.27600,20.00000,ABS
0.24700,20.00000,ABS
0.23000,20.00000,ABS
0.14700,15.00000,ABS
0.13200,15.00000,ABS
0.14200,15.00000,ABS
